name,adm2__id
"Albany","1"
"Allegany","2"
"Bronx","3"
"Broome","4"
"Cattaraugus","5"
"Cayuga","6"
"Chautauqua","7"
"Chemung","8"
"Chenango","9"
"Clinton","10"
"Columbia","11"
"Cortland","12"
"Delaware","13"
"Dutchess","14"
"Erie","15"
"Essex","16"
"Franklin","17"
"Fulton","18"
"Genesee","19"
"Greene","20"
"Hamilton","21"
"Herkimer","22"
"Jefferson","23"
"Kings","24"
"Lewis","26"
"Livingston","27"
"Madison","28"
"Monroe","29"
"Montgomery","30"
"Nassau","31"
"New York","32"
"Niagara","33"
"Oneida","34"
"Onondaga","35"
"Ontario","36"
"Orange","37"
"Orleans","38"
"Oswego","39"
"Otsego","40"
"Putnam","41"
"Queens","42"
"Rensselaer","43"
"Richmond","44"
"Rockland","45"
"Saint Lawrence","46"
"Saratoga","47"
"Schenectady","48"
"Schoharie","49"
"Schuyler","50"
"Seneca","51"
"Steuben","52"
"Suffolk","53"
"Sullivan","54"
"Tioga","55"
"Tompkins","56"
"Ulster","57"
"Warren","58"
"Washington","59"
"Wayne","60"
"Westchester","61"
"Wyoming","62"
"Yates","63"