"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",33,1,2001,98.83319473501513635,31253.357065579081796
"USA",33,2,2001,100.8499736062892792,28214.17011697080374
"USA",33,3,2001,1.170577554635417,203.0366915277835
"USA",33,4,2001,51.50563156915797277,16508.408146956497202
"USA",33,5,2001,69.42416453636492736,21069.414660494961146
"USA",33,6,2001,11.745235025848525225,2873.0179220793192179
"USA",33,7,2001,63.52513653406255201,16518.08915445255731
"USA",33,8,2001,26.7320400867426258,7139.37945495041006
"USA",33,9,2001,129.17705731106758743,40318.057225434880085
"USA",33,10,2001,708.34356773010989801,174558.43141234614664
"USA",33,11,2001,70.978604280538214370,21768.574629729637752
"USA",33,12,2001,24.99983744060981322,7801.53290064480233
"USA",33,13,2001,89.63993888676647265,29893.663400628020512
"USA",33,14,2001,113.32783895084641583,33250.51736190385178
"USA",33,15,2001,55.898489922319930945,12129.7273070157820946
"USA",33,16,2001,260.777436859691545896,73169.665470898544451
"USA",33,17,2001,375.99155477343742501,95513.929006292715170
"USA",33,18,2001,127.418907311145844185,39153.513647493876320
"USA",33,19,2001,5.15290979158203147,1305.092501609983268
"USA",33,20,2001,73.75090351913418159,26509.46748613120725
"USA",33,21,2001,159.53323538422749995,53868.570940110022759
"USA",33,22,2001,175.53878424801851228,50193.324069446116372
"USA",33,23,2001,45.239502370696586110,9970.5942712086982823
"USA",33,24,2001,0.11725451682291667,17.02686732669342
"USA",33,25,2001,2.08268196540798612,312.189530545468632
"USA",33,26,2001,82.864339765414502636,24128.110602637587428
"USA",33,27,2001,10.30243976373914976,2793.702421103734299
"USA",33,28,2001,80.08560814785811050,22953.599940854927310
"USA",33,29,2001,33.76352339221570422,8237.509051286264907
"USA",33,30,2001,92.165866798359348954,28455.851176473006708
"USA",33,31,2001,18.61589853875434545,5162.888327034910518
"USA",33,32,2001,0.05854040342664931,4.29664283355258
"USA",33,33,2001,13.83751776655816911,1913.0401284397692722
"USA",33,34,2001,188.19568656200513307,52760.005960110300064
"USA",33,35,2001,77.77862735808157403,19447.921201729161125
"USA",33,36,2001,12.67451053413194184,3263.986811172885774
"USA",33,37,2001,244.577878230496981611,57952.153600492731110
"USA",33,38,2001,4.62372048636501657,909.567076461413816
"USA",33,39,2001,70.718697522539119380,17427.410360555129308
"USA",33,40,2001,132.040756101553789574,44163.846314468539642
"USA",33,41,2001,25.18730047930772993,6855.554963591674207
"USA",33,42,2001,0.93793568071397584,225.24309182364421
"USA",33,43,2001,153.1297365662867314,51817.3587527433757
"USA",33,44,2001,3.87990925891927012,1061.134325591102996
"USA",33,45,2001,68.58483455943371076,22549.577134261404406
"USA",33,46,2001,508.803706259672778015,129690.458692992181807
"USA",33,47,2001,298.74792630974376352,98165.61000460742377
"USA",33,48,2001,40.04006318571832743,11816.4845105685251
"USA",33,49,2001,100.58286870091797866,36640.006382596439531
"USA",33,50,2001,18.2484600778797790,5417.85312550296321
"USA",33,51,2001,2.44287902929470482,525.406684824593250
"USA",33,52,2001,86.95333927981359113,23148.57080907608217
"USA",33,53,2001,345.81289014521501034,91751.689722011116938
"USA",33,54,2001,56.459900933732626694,15468.729973493698333
"USA",33,55,2001,54.6018572679730761,17888.90889068449914
"USA",33,56,2001,18.471994547322063785,5973.695790760139299
"USA",33,57,2001,125.580849760486118715,30370.211547333199659
"USA",33,58,2001,158.202435231310835301,52859.502159950780438
"USA",33,59,2001,137.87568112449659212,43876.214203079594507
"USA",33,60,2001,14.95762276173394430,3202.969484744799923
"USA",33,61,2001,84.44828604520184238,25639.993372846008694
"USA",33,62,2001,11.71493467699218716,2933.012843878361523
"USA",33,63,2001,4.84304734919487895,1119.759711511125975
"USA",33,1,2002,60.314741512851605095,19313.918065190469329
"USA",33,2,2002,69.2956187079036257,20766.8276119797526
"USA",33,3,2002,3.74698022764105838,988.14574266445291
"USA",33,4,2002,55.90482082259762259,19040.317808791670394
"USA",33,5,2002,95.999781697109348024,31178.985846832229296
"USA",33,6,2002,30.01054695998046240,8828.885941744057453
"USA",33,7,2002,47.48921336217237871,13206.14908318913429
"USA",33,8,2002,27.35811449861542419,8620.241832110035653
"USA",33,9,2002,55.97473779193791763,17994.403672466499791
"USA",33,10,2002,627.02519450767677543,161043.023328142567680
"USA",33,11,2002,74.06479330994134627,25813.767193966561818
"USA",33,12,2002,22.0387825622612794,7477.73370225469168
"USA",33,13,2002,83.35635316735453627,28537.077197350473508
"USA",33,14,2002,108.282784498873716866,33067.049838549831215
"USA",33,15,2002,30.4700140837478301,7839.66700946674497
"USA",33,16,2002,232.49089233753475214,72692.069790575131992
"USA",33,17,2002,553.83237724334307250,150917.435488166319918
"USA",33,18,2002,62.004855229915363094,20555.120701709823271
"USA",33,19,2002,4.02024582390842065,941.3366167821343394
"USA",33,20,2002,53.10064110561631266,18600.796734910845824
"USA",33,21,2002,75.579315399913191422,25264.115153586393582
"USA",33,22,2002,133.13724008593969719,42137.036051175126043
"USA",33,23,2002,100.38041448242388481,22884.951794810867585
"USA",33,24,2002,0.88044591568142372,101.713575460878007
"USA",33,25,2002,0.785904152521701324,221.0239530428266914
"USA",33,26,2002,125.872857837543455496,33947.931019718964292
"USA",33,27,2002,19.49521336955082448,5656.178723142172052
"USA",33,28,2002,42.07730786073346765,15505.47745941184025
"USA",33,29,2002,39.068477297272130894,10225.443425337715330
"USA",33,30,2002,12.697786547065973375,3217.120827803707266
"USA",33,31,2002,15.87376870709852969,4847.8762877898898475
"USA",33,33,2002,3.61029539306206632,581.365883220895742
"USA",33,34,2002,93.295229201677566090,24990.579077791135572
"USA",33,35,2002,57.66067728106117930,15227.53822326315705
"USA",33,36,2002,19.97296721888019973,5527.53507861796706
"USA",33,37,2002,113.94708515819464895,31777.130492900989307
"USA",33,38,2002,5.975992011427951994,1340.8991195962751177
"USA",33,39,2002,72.211577666108864344,17103.872420221991077
"USA",33,40,2002,118.98355175860029868,46597.319123304858405
"USA",33,41,2002,33.720371425362402485,10211.267802727285343
"USA",33,42,2002,0.93846736419270830,241.823637884406854
"USA",33,43,2002,93.73245590824418156,32196.243853298552998
"USA",33,44,2002,1.6458112420638022,403.95716277618137
"USA",33,45,2002,20.8076407932986102,6431.89097789084844
"USA",33,46,2002,351.33804957450905497,94379.309044729985942
"USA",33,47,2002,144.456463778198934164,50787.708852927218151
"USA",33,48,2002,13.97192332450303392,4373.13348022630707
"USA",33,49,2002,77.76909324409296801,28924.246680817338434
"USA",33,50,2002,41.93473764470268694,12678.923318774756877
"USA",33,51,2002,9.98548606068576375,2839.4559925741285095
"USA",33,52,2002,75.10958353865459985,20472.49963445351509
"USA",33,53,2002,207.36177920857899401,58966.92635479176406
"USA",33,54,2002,48.55078351123701461,11536.499489355817441
"USA",33,55,2002,71.5651039946287345,24526.52887396319644
"USA",33,56,2002,20.23452881782769173,6858.547576326245275
"USA",33,57,2002,65.071207224971782504,20612.960155300242709
"USA",33,58,2002,131.932026043029343781,47394.904305048104758
"USA",33,59,2002,52.54673975304469282,19497.53604127344869
"USA",33,60,2002,32.68669396105902978,7637.205111100332426
"USA",33,61,2002,68.33455399835279809,22079.6341604258848927
"USA",33,62,2002,7.7941153111371485,2030.8199926665780
"USA",33,63,2002,8.02951713808810837,2029.20359345329664
"USA",33,1,2003,3.75938864846354189,1295.48302623407482
"USA",33,2,2003,68.15379246675552712,21658.214375587280655
"USA",33,3,2003,0.5850208390190973,81.4593918248121
"USA",33,4,2003,115.4861151959964288,45646.16033899933410
"USA",33,5,2003,28.937779926395388916,8936.15481767040143
"USA",33,6,2003,26.37559326110025819,7571.770097436908369
"USA",33,7,2003,10.99792236391927308,2801.753927009036103
"USA",33,8,2003,33.51794027393878781,11007.421462786202114
"USA",33,9,2003,80.539312432628092514,31952.103242044711499
"USA",33,10,2003,506.92942350818618532,132605.762035046365866
"USA",33,11,2003,28.05365904333550883,9061.82068124490274
"USA",33,12,2003,25.6142261406705737,9868.99144923516139
"USA",33,13,2003,57.4504759012065692,19585.8140663018677
"USA",33,14,2003,55.083209503042491904,17538.672986620114929
"USA",33,15,2003,5.39427458950954942,1290.383807977430405
"USA",33,16,2003,125.799318020477395874,39144.956947791352295
"USA",33,17,2003,409.54377736588335362,112114.081149117793869
"USA",33,18,2003,24.30243747624132091,8173.955077133402675
"USA",33,19,2003,2.947446273958333004,838.66575212540560
"USA",33,20,2003,17.3407091366449645,6267.0941052386024
"USA",33,21,2003,50.28455939850909959,16406.538059881477958
"USA",33,22,2003,73.004929491768585276,21882.883431225042089
"USA",33,23,2003,109.95261055849869330,24974.510709111453224
"USA",33,24,2003,0.35225068116319444,41.998559597638645
"USA",33,26,2003,68.82928908031033386,19512.290893811255182
"USA",33,27,2003,40.87021683993286315,11273.415430249320842
"USA",33,28,2003,36.1437656714214123,13640.77249503594842
"USA",33,29,2003,25.3468081986480182,6662.8494506477455
"USA",33,30,2003,2.778058758420139234,988.893694160710376
"USA",33,31,2003,12.58936203363281368,4150.57711527349528
"USA",33,33,2003,1.57931871983940969,305.997366215499270
"USA",33,34,2003,48.51718374824220394,15107.155199541460849
"USA",33,35,2003,56.74623641568576253,16519.972805806105068
"USA",33,36,2003,8.851806377285156464,2551.702322749826086
"USA",33,37,2003,28.675235896655817046,9219.542704605540235
"USA",33,38,2003,1.5796099115125870,281.95916147275163
"USA",33,39,2003,78.73555998983507261,20388.5714165151094654
"USA",33,40,2003,21.18912094199001396,8086.32608255770477
"USA",33,41,2003,13.172893245518667,4269.0877108669725
"USA",33,42,2003,0.17575003220486113,55.3714635227597
"USA",33,43,2003,65.15180661689675243,22888.475476284358224
"USA",33,44,2003,2.82124454296874992,923.73698096741119
"USA",33,45,2003,16.196025294129758,5349.145731020023
"USA",33,46,2003,372.85340988684245438,95769.012590852608497
"USA",33,47,2003,88.97973258348751856,31808.581707786934604
"USA",33,48,2003,6.30052980768446101,2154.7979871686010
"USA",33,49,2003,6.4426243852560763,2711.7685518441663
"USA",33,50,2003,21.16691172230033607,6641.24433651818109
"USA",33,51,2003,2.55380137223090267,702.630803683240433
"USA",33,52,2003,75.51867634157987763,20223.546751630975877
"USA",33,53,2003,208.45615385913191323,60440.521325927063924
"USA",33,54,2003,21.1136185651844554,6547.002682934310425
"USA",33,55,2003,61.2253631091644518,21942.9651999780404
"USA",33,56,2003,66.48762585318574832,24974.52649577144338
"USA",33,57,2003,26.597194570696606364,8186.876471485604961
"USA",33,58,2003,42.38914207769315063,15249.991438668097472
"USA",33,59,2003,13.724806109435765004,4908.441529076731134
"USA",33,60,2003,15.29828466315755111,3998.076324383875751
"USA",33,61,2003,36.02500690258033737,11837.88510190791791
"USA",33,62,2003,9.1052525412065983,2654.4975962097320
"USA",33,63,2003,5.240795289904513415,1460.070747419379900
"USA",33,1,2004,92.74005822612208020,30368.28024172140412
"USA",33,2,2004,107.5136426350501205,33481.035085264356854
"USA",33,3,2004,1.990644602769097,479.09277890919344
"USA",33,4,2004,65.30546466530388247,24168.061300694382223
"USA",33,5,2004,161.320535260416599659,52615.927207092383912
"USA",33,6,2004,34.989913560251735006,8153.510274363748566
"USA",33,7,2004,149.41725087529296390,43247.444453740393573
"USA",33,8,2004,63.271573601089420946,19749.892123083928927
"USA",33,9,2004,107.09672814311618611,38175.42280530005348
"USA",33,10,2004,867.24031915856771306,229128.171647694147738
"USA",33,11,2004,45.268286396970497436,15379.253781983539076
"USA",33,12,2004,40.471441017936199694,14895.87734468651189
"USA",33,13,2004,105.750346426280333446,35991.824512713126970
"USA",33,14,2004,174.93573224257348336,54257.453716966578546
"USA",33,15,2004,126.29990428760375699,32821.174034050970684
"USA",33,16,2004,336.355315914281877106,104522.764224462013580
"USA",33,17,2004,765.105785396452110615,208107.962646972519719
"USA",33,18,2004,133.413050141532175304,44559.804661114884066
"USA",33,19,2004,6.11278014013237880,1650.467939552274413
"USA",33,20,2004,83.493279321829361015,29882.578447684704676
"USA",33,21,2004,108.208049562326342634,34413.22462787793462
"USA",33,22,2004,178.674505654654666118,53896.948318146187344
"USA",33,23,2004,67.54396315558596831,12930.277390000652753
"USA",33,24,2004,0.5871983131944445,79.298039528398183
"USA",33,25,2004,4.6097853830837662,538.792421535188644
"USA",33,26,2004,228.23610157556368554,66224.720537404948002
"USA",33,27,2004,15.990482504253477076,4321.699237347596844
"USA",33,28,2004,74.21255099311851468,25421.59842454228857
"USA",33,29,2004,59.43507821861326256,16576.67037528021397
"USA",33,30,2004,30.7364704932725782,9873.3797711555621571
"USA",33,31,2004,17.75170689714843899,5298.231230290718610
"USA",33,32,2004,0.05853583851779514,7.647435416527718
"USA",33,33,2004,12.0247735880143261,1996.081534029431954
"USA",33,34,2004,180.00862423005645132,56179.13764738819925
"USA",33,35,2004,88.69886644607634450,24912.643397887398190
"USA",33,36,2004,25.6558280737109345,7368.95026801189096
"USA",33,37,2004,132.83506046981962231,40516.9573607334451005
"USA",33,38,2004,13.64653028937933616,3808.734884518207004
"USA",33,39,2004,107.185878967202660124,25582.406344415489161
"USA",33,40,2004,71.85816924151032432,25124.08269529993399
"USA",33,41,2004,20.89155644000651508,6867.43905890748469
"USA",33,42,2004,1.1725051247960069,313.182731600143648
"USA",33,43,2004,119.95210409961571874,42805.501207383610446
"USA",33,44,2004,5.5220316122526052,1705.9465861376381
"USA",33,45,2004,22.435244803400619455,7094.07386406414782
"USA",33,46,2004,565.99237933198805690,137174.593063303070781
"USA",33,47,2004,620.195617344463052885,214409.893541986592654
"USA",33,48,2004,30.659547811310753836,10608.990571154156100
"USA",33,49,2004,65.98923915938371709,25656.152527138974645
"USA",33,50,2004,42.22770088591581043,12653.97481793478364
"USA",33,51,2004,15.027391145696629016,3925.247897631897852
"USA",33,52,2004,113.004591192395914314,29969.402082392243312
"USA",33,53,2004,256.400080267382237404,79894.277208539668497
"USA",33,54,2004,144.2099605967840383,44790.90989295644033
"USA",33,55,2004,89.371043351167595384,33043.588321412594595
"USA",33,56,2004,68.6260857287954865,24145.5521883116114
"USA",33,57,2004,129.277410867348073989,41768.732081218735200
"USA",33,58,2004,466.81356338881100082,171168.184430015138936
"USA",33,59,2004,104.45941503403216346,37008.49534506940069
"USA",33,60,2004,21.91073494992621436,5068.472042828115590
"USA",33,61,2004,37.915093804665670796,12253.436975655421452
"USA",33,62,2004,32.3199717858854689,9217.841868417061317
"USA",33,63,2004,16.91195010843316128,4797.225555249572683
"USA",33,1,2005,63.05372588981550245,21411.3257375444059866
"USA",33,2,2005,112.341124548105519205,35728.849347431473676
"USA",33,3,2005,5.849298868042531,1688.7278562791869
"USA",33,4,2005,53.08500071238290671,19324.109599733988452
"USA",33,5,2005,160.684220442912270169,55915.009877072052932
"USA",33,6,2005,28.967249952343746586,8160.127907398120954
"USA",33,7,2005,116.2986326029816582,34649.120081335378015
"USA",33,8,2005,32.98780701224387237,9992.889463580444423
"USA",33,9,2005,45.7743498139561357,15426.5936319720892
"USA",33,10,2005,1279.169413822214555955,349646.717361598882887
"USA",33,11,2005,57.84039022038410125,19464.97885130659242
"USA",33,12,2005,14.07243115396701679,4225.104213811196346
"USA",33,13,2005,79.00242324055116906,28374.82287643778064
"USA",33,14,2005,151.228192256514196686,49360.531796278796789
"USA",33,15,2005,99.03447148813136250,25274.55363628743787
"USA",33,16,2005,373.760202383367907175,118497.306755276421140
"USA",33,17,2005,1564.11486712212943884,440863.6408500576360106
"USA",33,18,2005,70.726249400640172765,23274.180670021336141
"USA",33,19,2005,9.1166898571961800,2589.15542940355836
"USA",33,20,2005,92.842972076992232404,32828.532395173110202
"USA",33,21,2005,174.737845223786868443,56295.497226797961059
"USA",33,22,2005,225.57835439559901045,69635.409216091311346
"USA",33,23,2005,55.760758455151913454,13633.9274780305776435
"USA",33,24,2005,0.64580299580729171,132.11467402889204
"USA",33,25,2005,0.3351508801388889,46.690840347260995
"USA",33,26,2005,261.72983916671669216,79242.962347555740957
"USA",33,27,2005,10.58487657619357574,2874.039683957586345
"USA",33,28,2005,35.22068804755642741,11790.126189590139418
"USA",33,29,2005,55.36773925733286138,15454.556287864614563
"USA",33,30,2005,18.8269039085763807,5472.12354692334744
"USA",33,31,2005,29.629145586842446596,9442.311528037731092
"USA",33,33,2005,11.62543278211371657,2074.53819692894737
"USA",33,34,2005,94.801777462771234126,30269.475343478396889
"USA",33,35,2005,83.11978594807079507,23394.373865831890663
"USA",33,36,2005,23.667629187402364735,6937.14644600635094
"USA",33,37,2005,125.63140313679887913,38409.771958501472073
"USA",33,38,2005,12.29242814825737848,3253.759645622132452
"USA",33,39,2005,97.793834978904136690,25831.94918493972470
"USA",33,40,2005,58.37041283596571490,21876.741075799897236
"USA",33,41,2005,24.78380613911241992,7999.696106193467876
"USA",33,42,2005,1.583052920501302174,295.112159862369884
"USA",33,43,2005,152.91436844840706058,56708.69210610198788
"USA",33,44,2005,10.34901867937500896,3455.385533131806926
"USA",33,45,2005,19.520049906380191444,6322.748232420516961
"USA",33,46,2005,1217.354175887094186709,333703.298291351887818
"USA",33,47,2005,326.71484500301841069,115129.147653839440742
"USA",33,48,2005,11.8114649174826422,4024.30911092378684
"USA",33,49,2005,22.51505797513672278,8327.988527513501426
"USA",33,50,2005,42.27260480432290746,12778.022296571653696
"USA",33,51,2005,9.02174572610677199,2569.187185364044334
"USA",33,52,2005,90.0215823479448486,24958.24361155589221
"USA",33,53,2005,159.29684523573140494,46897.704491846244048
"USA",33,54,2005,75.02296006723301358,24076.650127082590941
"USA",33,55,2005,29.3225739241015549,9287.3000283943828
"USA",33,56,2005,35.08664647847437822,11735.614177875130404
"USA",33,57,2005,94.351837369377164666,29701.306205494471905
"USA",33,58,2005,251.040808507171941647,94013.163055852348620
"USA",33,59,2005,56.7568667280881222,20794.38330709412434
"USA",33,60,2005,42.66362183910374633,11261.413513385040152
"USA",33,61,2005,73.37092173373072353,23915.866853567489364
"USA",33,62,2005,22.7849806342773593,6771.97286877374038
"USA",33,63,2005,14.587083861009119816,3841.31927515423386
"USA",33,1,2006,66.45693230582681338,22986.724629845263344
"USA",33,2,2006,193.22177666863133265,62046.43417590585697
"USA",33,3,2006,1.34662006165581631,305.813780937939427
"USA",33,4,2006,33.929740872675751556,12427.819341101944655
"USA",33,5,2006,187.267100265957112234,67901.900607291546726
"USA",33,6,2006,27.76925023479600286,8631.72395203988501
"USA",33,7,2006,85.29449146319648613,26712.751956148213021
"USA",33,8,2006,25.486698620186676,7748.6493091695465
"USA",33,9,2006,115.11638040285362487,43014.360556459378424
"USA",33,10,2006,1069.51410788414389678,293831.046231564292471
"USA",33,11,2006,86.35947061754351236,29724.493089583369896
"USA",33,12,2006,73.63618345524305480,26131.24368719456815
"USA",33,13,2006,117.193522535295117554,40162.888375881668955
"USA",33,14,2006,139.56279134665398914,45700.833821416359155
"USA",33,15,2006,35.91398720255416732,9497.172642675933979
"USA",33,16,2006,306.275408763845832456,100189.132319862400085
"USA",33,17,2006,562.141678194102388895,157211.047186129943487
"USA",33,18,2006,81.057289423038207386,28281.513229076233367
"USA",33,19,2006,22.57118707218527900,7576.251319163281361
"USA",33,20,2006,84.938415843949616086,31486.830819316215715
"USA",33,21,2006,84.47108542470268858,30488.792152707415354
"USA",33,22,2006,131.51898122777563044,42602.009076240803011
"USA",33,23,2006,52.1136095540517217,10098.544147876349663
"USA",33,24,2006,0.9981028036545139,198.25089552816604
"USA",33,25,2006,0.49602288298177087,56.042048273393700
"USA",33,26,2006,150.10194751478722699,46527.740866928628798
"USA",33,27,2006,5.233157521705729620,1538.100226817163573
"USA",33,28,2006,60.44655583795361079,21743.224473379515701
"USA",33,29,2006,53.72997794468317022,15675.593797031583386
"USA",33,30,2006,19.21743674616536169,6250.91971715647659
"USA",33,31,2006,21.379031549861100025,7161.194046235344685
"USA",33,32,2006,0.35155124507378477,65.13733732887135
"USA",33,33,2006,6.15226823292100921,1022.19924546239777
"USA",33,34,2006,95.496191169509529417,31001.699959197511128
"USA",33,35,2006,58.414503748708792854,16850.249034771742945
"USA",33,36,2006,11.34471195381727273,3284.581791021117704
"USA",33,37,2006,141.02199713320323054,42715.16318068443247
"USA",33,38,2006,16.1249264014301265,4374.96647801381198
"USA",33,39,2006,51.05962550933155117,13758.277075594258625
"USA",33,40,2006,60.00580525588109702,21512.51138178727857
"USA",33,41,2006,35.5213927983572716,10830.40197467617376
"USA",33,42,2006,0.41037513958550354,60.289166801693354
