County_Name,Brightness,Real_GDP_2019,Average Annual Count,"Age-Adjusted Death Rate(_) - deaths per 100,000",Depression Rate(per 100k),PTSD rate (per 100k),Trauma rate (per 100k),tree_cover_loss_2019,gross_emissions_co2e_all_gases_Mg_2019
Allegany,2694.3,1723115,7,17.3,23.162570145,15.012776946,59.6,57.14577656,21474.34896
Bronx,81936.7,44654229,77,5.2,23.616869064,8.375496896,33.4,0.760568734,211.847613
Broome,18621.5,9235160,21,11,38.438120615,18.750302739,78.9,29.72271988,11696.56785
Cattaraugus,6915.9,2912501,11,15.8,27.8952547,15.190485232,72.6,146.8495561,58194.14806
Cayuga,7831.0,2901102,11,14.5,36.15688983,13.276357984,57.6,49.03117192,17966.58774
Chautauqua,13941.1,4826497,17,12.3,30.512751788,17.340580251,71.9,95.33505617,39610.98042
Chemung,10229.8,3743192,13,15.6,33.474540536,19.20244961,75.5,7.691992913,2838.171012
Chenango,3651.6,2332107,8,16.2,38.453219255,25.298170563,81.0,199.3815327,82530.926
Clinton,15080.6,3688995,9,11.5,31.998528068,21.865660846,81.6,645.1457777,199403.3166
Columbia,6489.2,2387520,9,12.8,28.818264376,16.010146875,60.5,64.26213556,25190.82829
Cortland,4213.3,1779631,4,9.3,34.424562149,24.588972963,82.3,111.1491191,52267.71639
Delaware,1758.9,2102985,9,18.6,22.946242962,12.019460599,64.5,101.2883284,41436.60303
Dutchess,18487.8,14476090,42,12.8,26.982514732,14.512788602,56.6,80.50728549,29927.56938
Erie,94605.4,58833333,95,9.5,29.116450147,13.274977271,59.9,98.86053998,28796.20434
Essex,3117.9,1633581,4,11.3,21.02799878,18.62479892,48.1,372.5051016,143835.9604
Franklin,7832.5,1930257,8,16.4,27.933247754,13.555840822,62.0,1403.635148,493587.1411
Fulton,4542.8,1903639,9,16.3,30.277225849,17.528920228,72.5,141.2465134,58145.26569
Genesee,11265.4,2471004,7,13.2,37.667654695,20.806894975,66.4,5.150867525,1638.120522
Greene,2650.0,2296907,7,12.5,36.427584474,12.142528158,61.1,103.3986948,37715.51177
Herkimer,319.1,1822195,8,12.1,42.000462005,17.200189202,93.2,566.0831594,217329.675
Jefferson,14505.4,6361905,15,12.9,35.635616908,18.174164623,76.4,194.0847409,58190.85807
Lewis,2133.0,1106714,5,21.8,20.34227919,10.577985179,48.0,675.2368876,254290.4844
Livingston,6687.3,2237999,9,13.1,33.250207814,17.150107188,68.6,43.13840956,15360.1365
Madison,6513.0,2348829,10,14,25.399495834,15.021207213,74.8,98.31913152,37200.43995
Monroe,73655.9,48455221,79,10,28.856107849,15.054150768,62.4,69.83133567,22251.1812
Montgomery,3910.3,1954214,6,13,26.904321507,15.082725693,70.9,16.26749782,5762.745992
Nassau,166088.3,101628423,83,5.6,24.09010808,8.076185659,34.1,31.26594961,12491.38913
New York,181296.6,745306426,130,6.9,30.156085114,11.219970156,56.2,0.668812712,73.49968218
Niagara,25098.3,9978260,28,12.2,32.39416746,16.693926789,67.7,46.87897696,9857.227367
Oneida,28398.1,11125823,31,13.3,32.323890819,12.585492504,63.4,318.5738632,126116.486
Onondaga,50887.3,31894110,52,10.8,28.857722648,16.657343806,66.4,60.04172426,20158.77844
Ontario,14609.1,6426485,17,14.4,30.311356205,18.038046331,65.3,26.76155449,8941.011944
Orange,30703.1,19794340,39,9.5,27.544136441,11.989800568,49.6,114.0525679,39818.89859
Orleans,3032.8,1384416,5,8.8,28.615638977,15.367657969,54.6,40.1238701,10886.92653
Oswego,10211.1,6777407,15,12.6,38.908352981,16.598517556,78.2,214.7483755,72861.34419
Otsego,4878.4,2691556,9,16.4,30.928679537,19.904595741,80.2,151.8501272,67437.04246
Putnam,20485.6,3933428,8,6.3,27.444414423,9.573632938,43.6,31.66952459,12160.50685
Queens,72358.5,105747903,148,5.8,23.540300584,6.594496638,29.3,0.293729339,55.89670198
Rensselaer,24990.8,8853377,17,10.7,29.025250655,16.285661001,70.9,196.8790839,81874.22853
Richmond,76024.2,16891174,35,6.5,22.208994109,8.328372791,34.4,6.112871823,2052.806144
Rockland,19230.7,17565261,19,5.6,20.345772027,7.239599862,35.7,31.88097245,11946.75823
Saratoga,16233.4,12417181,25,10,27.484445323,14.785361676,65.6,528.1698856,217101.3578
Schenectady,25287.3,8914297,15,9.1,36.786573042,17.899979986,67.8,16.18464643,6172.42455
Schoharie,2079.1,1067472,5,14.6,29.661309236,15.175553563,66.9,113.974841,56216.22921
Schuyler,1228.1,533198,3 or fewer,* ,28.961547512,15.687504902,77.2,45.0665905,17034.37269
Seneca,6723.7,1584467,4,12.7,32.447943865,16.899970763,60.8,19.89663138,6846.256547
Steuben,5412.5,4596156,14,13.5,27.690378445,17.476714264,68.1,98.17648121,33568.49567
Suffolk,56404.7,100944828,134,8.3,25.298570465,10.043423897,41.9,153.2101524,54724.79
Sullivan,8801.6,3123148,11,12.2,26.673614639,16.774128794,52.2,140.3845048,57132.37762
Tioga,4160.3,1789612,6,12.5,31.335347237,16.740801949,72.1,55.69018907,23399.75403
Tompkins,7074.9,6298392,13,12.8,36.40519183,17.384501717,89.4,68.03584785,27564.16272
Ulster,8320.8,7630419,26,12.8,28.04216936,18.730869881,69.5,118.5577137,44139.24734
Warren,2249.4,4558773,7,10.9,22.719127586,13.759471636,68.8,301.0425763,122454.7596
Washington,9962.1,1932759,10,13.8,24.533895807,12.426258915,56.4,142.9170031,60258.8235
Wayne,7871.3,4108553,14,14.6,28.601709008,14.85515119,53.4,112.2477991,33644.8072
Westchester,35877.9,85918413,73,7,22.208598647,8.410106814,34.3,44.7603767,16810.76885
Wyoming,4280.3,1778533,6,12.2,23.715633741,15.283408411,59.6,16.90046154,5593.398405
Yates,1337.5,960245,4,14.9,18.124673035,8.238487743,49.4,23.84888385,7571.956359
